level,canton,number,abbr_de,abbr_fr,abbr_it,aliases,title_de
federal,,172.041.15,GebV BAR,OE ArchF,OE ARF,GEBV BAR|OE ARCHF|OE ARF,Verordnung des EDI vom 1. Dezember 1999 über die Gebühren des Schweizerischen Bundesarchivs (Gebührenverordnung BAR)
federal,,172.041.18,GebV-ESA,OEmol-ASF,OEm-AVF,GEBV-ESA|OEM-AVF|OEMOL-ASF,Verordnung vom 1. November 2023 über die Gebühren der Eidgenössischen Stiftungsaufsicht (GebV-ESA)
federal,,172.042.110,ZStGV,OEEC,OESC,OEEC|OESC|ZSTGV,Verordnung vom 27. Oktober 1999 über die Gebühren im Zivilstandswesen (ZStGV)
federal,,172.043.60,GebV-fedpol,OEmol-fedpol,OEm-fedpol,GEBV-FEDPOL|OEM-FEDPOL|OEMOL-FEDPOL,"Verordnung vom 4. Mai 2016 über Gebühren für Verfügungen und Dienstleistungen des Bundesamtes für Polizei (Gebührenverordnung fedpol, GebV-fedpol)"
federal,,172.045.103,GebV-VBS,OEmol-DDPS,OEm-DDPS,GEBV-VBS|OEM-DDPS|OEMOL-DDPS,"Verordnung vom 8. November 2006 über die Gebühren des VBS (Gebührenverordnung VBS, GebV-VBS)"
federal,,172.047.40,GebV-ASTRA,OEmol-OFRO,OEmo-USTRA,GEBV-ASTRA|OEMO-USTRA|OEMOL-OFRO,"Verordnung vom 7. November 2007 über die Gebühren des Bundesamtes für Strassen (Gebührenverordnung ASTRA, GebV-ASTRA)"
federal,,172.056.1,BöB,LMP,LAPub,BÖB|LAPUB|LMP,Bundesgesetz vom 21. Juni 2019 über das öffentliche Beschaffungswesen (BöB)
federal,,172.056.11,VöB,OMP,OAPub,OAPUB|OMP|VÖB,Verordnung vom 12. Februar 2020 über das öffentliche Beschaffungswesen (VöB)
federal,,172.056.15,Org-VöB,Org-OMP,OOAPub,OOAPUB|ORG-OMP|ORG-VÖB,Verordnung vom 1. Mai 2024 über die Organisation des öffentlichen Beschaffungswesens der Bundesverwaltung (Org-VöB)
federal,,172.061,VlG,LCo,LCo,LCO|VLG,"Bundesgesetz vom 18. März 2005 über das Vernehmlassungsverfahren (Vernehmlassungsgesetz, VlG)"
federal,,172.061.1,VlV,OCo,OCo,OCO|VLV,"Verordnung vom 17. August 2005 über das Vernehmlassungsverfahren (Vernehmlassungsverordnung, VlV)"
federal,,172.071,MAkkV,OAcCP,OAGio,MAKKV|OACCP|OAGIO,Verordnung vom 20. Juni 2025 über die Akkreditierung von Medienschaffenden und die Zutrittsberechtigung zum Medienzentrum Bundeshaus (MAkkV)
